"model_key","model_class","model_class_label","training_regime","training_regime_label","learning_rate","window_id","window_row","window_col","n_pixels","generated_mean","generated_variance","generated_expected_variance","generated_expected_variance_ci95_low","generated_expected_variance_ci95_high","generated_log10_variance_ratio","reference_mean","reference_variance","reference_expected_variance","reference_expected_variance_ci95_low","reference_expected_variance_ci95_high","reference_log10_variance_ratio","evaldf_path","generated_growth_pct","reference_growth_pct"
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,65,7,15,3917,983.050540396975,2037247.34517083,2957333.56682052,2143217.33430185,4080697.59677096,-0.161856552182171,1155.25252711303,4779601.99271333,4045638.63135385,2925852.75204905,5593990.30728401,0.0724046458491493,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,66,7,16,3141,1549.91601101936,5901207.07694274,7157424.62765718,5156827.4932055,9934155.71261425,-0.0838159287502762,1229.96104597647,7213943.35294946,4568969.7683616,3301673.04796849,6322698.95925853,0.198354443268808,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,67,8,5,180,559.180640699782,618612.60104467,989093.509978338,722022.681785684,1354951.8542295,-0.203818589941919,1244.22591636228,1770535.18860355,4672400.49397937,3375915.04981642,6466787.83499777,-0.421435498583696,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,68,8,6,1595,906.088198649631,1709974.52641381,2524457.66791898,1831423.62553888,3479744.62502622,-0.169178451771801,1195.48231173973,5477007.77771436,4323612.85040426,3125512.24516207,5980980.59257855,0.102696558697917,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,69,8,7,2014,826.405167118525,2055129.39768828,2111349.48863717,1533537.49777486,2906871.64131079,-0.0117209557194376,928.312433080921,7649795.89366982,2646047.70595034,1919036.35277941,3648481.41205059,0.461052177900682,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,70,8,8,1604,690.007510656634,1205701.82660851,1487581.37994515,1082982.29264785,2043337.52913822,-0.0912408147996816,946.876299027523,10406212.2773141,2749736.04161591,1993728.76030616,3792415.72329049,0.57800167473335,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,71,8,9,1141,677.204931305393,784902.680514203,1434467.86176277,1044566.10831642,1969906.9594999,-0.261875010389429,844.450768536356,3342836.78021573,2201770.28594474,1598769.17359882,3032202.81709387,0.181343165538517,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,72,8,10,1749,1635.56074220664,4372418.21995213,7945157.55353261,5720424.64823318,11035112.3268363,-0.259380818398396,1909.30696942455,8171242.01270831,10729390.8508537,7709699.48477834,14931817.8040103,-0.118286992626641,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,73,8,11,1656,886.21174778548,1316396.76966589,2418063.31280607,1754737.40325675,3332139.71155268,-0.264080860024417,978.77751534797,1770610.36496054,2932429.99363894,2125288.32441319,4046107.80044048,-0.21910465072734,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,74,8,12,1418,778.330204882674,1160951.95115856,1879446.32603808,1366150.58229085,2585599.66832855,-0.209215681706428,936.440919742935,1880688.50229895,2691211.47580185,1951572.63583312,3711170.71150967,-0.155630956548689,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
