"learning_rate","target","scale","n","mae","mb","r2","slope","reference_mean","generated_mean","source","training_regime","family","model_key","model_class","model_class_label","training_regime_label"
5e-04,"BH","pixel_new_developed",150166,2.21499596572652,-0.112860824598815,0.205504889590982,0.258853744045855,3.255019946495,3.14215912189618,"/Volumes/HDD/Models/LALegacyModels/2A_BH_cGANRandomVecFixed/lr_0p0005_seed_4026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
0.001,"BH","pixel_new_developed",150166,2.13082604138199,-0.281605467362009,0.233454187628776,0.266095845256205,3.255019946495,2.97341447913299,"/Volumes/HDD/Models/LALegacyModels/2A_BH_cGANRandomVecFixed/lr_0p001_seed_5026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
1e-04,"BF","window_256",107,0.023513687948618,0.000408394436273619,0.615549054227472,0.72486794630043,0.1424152860505,0.142823680486774,"/Volumes/HDD/Models/LALegacyModels/2A_BF_cGANRandomVecFixed/lr_0p0001_seed_2026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
2e-04,"BF","window_256",107,0.0234916964110649,0.00115748078814734,0.611206770995656,0.740139075680051,0.1424152860505,0.143572766838648,"/Volumes/HDD/Models/LALegacyModels/2A_BF_cGANRandomVecFixed/lr_0p0002_seed_3026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
5e-04,"BF","window_256",107,0.0239300777108591,0.00564250591968265,0.60865454133058,0.738481124513511,0.1424152860505,0.148057791970183,"/Volumes/HDD/Models/LALegacyModels/2A_BF_cGANRandomVecFixed/lr_0p0005_seed_4026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
0.001,"BF","window_256",107,0.0225066210482722,0.00188483228193265,0.642143312316304,0.771577031995917,0.1424152860505,0.144300118332433,"/Volumes/HDD/Models/LALegacyModels/2A_BF_cGANRandomVecFixed/lr_0p001_seed_5026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
1e-04,"BH","window_256",107,0.59879492933505,-0.333012151940961,0.463163301578105,0.382586814767397,3.26596323964752,2.93295108770656,"/Volumes/HDD/Models/LALegacyModels/2A_BH_cGANRandomVecFixed/lr_0p0001_seed_2026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
2e-04,"BH","window_256",107,0.574722288367904,-0.22354326459849,0.565955322221281,0.420830899436236,3.26596323964752,3.04241997504903,"/Volumes/HDD/Models/LALegacyModels/2A_BH_cGANRandomVecFixed/lr_0p0002_seed_3026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
5e-04,"BH","window_256",107,0.553513761435714,-0.214745213495237,0.482068102641758,0.398242633871267,3.26596323964752,3.05121802615228,"/Volumes/HDD/Models/LALegacyModels/2A_BH_cGANRandomVecFixed/lr_0p0005_seed_4026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
0.001,"BH","window_256",107,0.600060586060319,-0.38397219415023,0.489108820671824,0.427242255629638,3.26596323964752,2.88199104549729,"/Volumes/HDD/Models/LALegacyModels/2A_BH_cGANRandomVecFixed/lr_0p001_seed_5026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
1e-04,"BF","pixel_new_developed",150166,0.14269332189856,-0.0181337464988279,0.0522177823377119,0.174391549860795,0.14645619398942,0.128322447490593,"/Volumes/HDD/Models/MSASampleModels/2A_BF_cGANRandomVecFixed_MSASample/lr_0p0001_seed_2026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
2e-04,"BF","pixel_new_developed",150166,0.140483069394095,-0.016019744051602,0.0614399825024106,0.187524238600494,0.14645619398942,0.130436449937818,"/Volumes/HDD/Models/MSASampleModels/2A_BF_cGANRandomVecFixed_MSASample/lr_0p0002_seed_3026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
5e-04,"BF","pixel_new_developed",150166,0.140437194976703,-0.0128097585450494,0.0657312650487414,0.199937366774429,0.14645619398942,0.133646435444371,"/Volumes/HDD/Models/MSASampleModels/2A_BF_cGANRandomVecFixed_MSASample/lr_0p0005_seed_4026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
0.001,"BF","pixel_new_developed",150166,0.140817534115965,-0.0109855747126515,0.0637821258004032,0.192643316641713,0.14645619398942,0.135470619276769,"/Volumes/HDD/Models/MSASampleModels/2A_BF_cGANRandomVecFixed_MSASample/lr_0p001_seed_5026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
1e-04,"BH","pixel_new_developed",150166,3.54775914664083,1.30920399334885,0.0193736246030033,0.108017265738211,3.255019946495,4.56422393984384,"/Volumes/HDD/Models/MSASampleModels/2A_BH_cGANRandomVecFixed_MSASample/lr_0p0001_seed_2026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
2e-04,"BH","pixel_new_developed",150166,3.53144296828139,1.34420155328613,0.026906664332866,0.134695430682462,3.255019946495,4.59922149978113,"/Volumes/HDD/Models/MSASampleModels/2A_BH_cGANRandomVecFixed_MSASample/lr_0p0002_seed_3026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
5e-04,"BH","pixel_new_developed",150166,3.4026881181369,1.17072242800079,0.0327920539093212,0.145644057148255,3.255019946495,4.42574237449578,"/Volumes/HDD/Models/MSASampleModels/2A_BH_cGANRandomVecFixed_MSASample/lr_0p0005_seed_4026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
0.001,"BH","pixel_new_developed",150166,3.5832357833415,1.5647426874746,0.0286136716689786,0.138185691625067,3.255019946495,4.8197626339696,"/Volumes/HDD/Models/MSASampleModels/2A_BH_cGANRandomVecFixed_MSASample/lr_0p001_seed_2026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
1e-04,"BF","window_256",107,0.0373953043039296,-0.023623262758358,0.39096147438706,0.643681145218675,0.1424152860505,0.118792023292142,"/Volumes/HDD/Models/MSASampleModels/2A_BF_cGANRandomVecFixed_MSASample/lr_0p0001_seed_2026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
2e-04,"BF","window_256",107,0.0345562228706674,-0.0215170526024058,0.420941031322769,0.606184648113456,0.1424152860505,0.120898233448094,"/Volumes/HDD/Models/MSASampleModels/2A_BF_cGANRandomVecFixed_MSASample/lr_0p0002_seed_3026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
5e-04,"BF","window_256",107,0.0355652331017723,-0.0185045720922334,0.397442561896495,0.628657192198374,0.1424152860505,0.123910713958267,"/Volumes/HDD/Models/MSASampleModels/2A_BF_cGANRandomVecFixed_MSASample/lr_0p0005_seed_4026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
0.001,"BF","window_256",107,0.0327272643378683,-0.0167876844268257,0.377395175369308,0.530984258126173,0.1424152860505,0.125627601623674,"/Volumes/HDD/Models/MSASampleModels/2A_BF_cGANRandomVecFixed_MSASample/lr_0p001_seed_5026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
1e-04,"BH","window_256",107,1.4511298058189,1.05878909893125,0.118661493198737,0.338127553938501,3.26596323964752,4.32475233857877,"/Volumes/HDD/Models/MSASampleModels/2A_BH_cGANRandomVecFixed_MSASample/lr_0p0001_seed_2026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
2e-04,"BH","window_256",107,1.36963935683821,1.08976599908321,0.20855272936499,0.453792111071054,3.26596323964752,4.35572923873073,"/Volumes/HDD/Models/MSASampleModels/2A_BH_cGANRandomVecFixed_MSASample/lr_0p0002_seed_3026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
5e-04,"BH","window_256",107,1.29817090468986,0.877252021125544,0.171184747266911,0.417040765174037,3.26596323964752,4.14321526077306,"/Volumes/HDD/Models/MSASampleModels/2A_BH_cGANRandomVecFixed_MSASample/lr_0p0005_seed_4026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
0.001,"BH","window_256",107,1.62236610806991,1.36450514448023,0.0597324260563447,0.203912474128247,3.26596323964752,4.63046838412775,"/Volumes/HDD/Models/MSASampleModels/2A_BH_cGANRandomVecFixed_MSASample/lr_0p001_seed_2026/generator_epoch_1000.pth","MSASample","2A","single_latent_conus_model","2A","single-latent cGAN","CONUS Model"
