training_regime,training_regime_label,dataset_name,family,model_class,learning_rate,learning_rate_label,learning_rate_display,checkpoint,target,evaluation_mode,mask_type,hisdac_code,land_use_type,n_tiles,median_tile_bias_m,tile_bias_iqr_low_m,tile_bias_iqr_high_m,reference_mean_bh_m,generated_mean_bh_m,mean_bias_m,mae_m,n_pixels,n_reference_built_pixels
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,8,Vacant Land,1691,2.006880760192871,-0.019108896143734448,4.698249101638794,8.168152891091937,9.139556544493713,0.9714036154915818,6.632655777388367,1741967,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,8,Vacant Land,1692,0.8111670613288879,-1.8206115067005157,3.12312912940979,8.49562094418216,8.09788546050917,-0.39773545727269716,6.3402906108279495,1674822,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,8,Vacant Land,1680,-0.31280840933322906,-4.038418650627136,2.007381856441498,9.740275459207306,8.2757122443256,-1.4645632475678463,5.88152322753572,1460806,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,8,Vacant Land,1680,-0.5979755520820618,-4.1343560218811035,1.705142229795456,9.813513741414992,8.166718474243343,-1.6467952774091155,5.725255683231488,1449904,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,8,Vacant Land,1680,-0.5650359690189362,-3.73219084739685,1.6946690082550047,9.616794144106752,7.988235069965368,-1.6285591107903057,5.7902869808985695,1479563,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,reference_built,2,Commercial,1935,-2.2799978256225586,-5.982384204864502,0.1958744153380394,9.562713778901971,7.203101919734026,-2.359611847654254,5.328202574162444,9325042,9325042
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,reference_built,2,Commercial,1935,-0.23924584686756137,-3.257358431816101,1.767887532711029,9.562713778901971,8.405076000294434,-1.1576377705282537,5.083291050801572,9325042,9325042
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,reference_built,2,Commercial,1935,1.1172751188278198,-1.7383378744125366,3.3545995950698853,9.562713778901971,9.618543322720853,0.055829541616640686,5.24513135437625,9325042,9325042
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,reference_built,2,Commercial,1935,-0.5201108455657959,-3.3599064350128174,1.355974018573761,9.562713778901971,8.289133251318468,-1.2735805364798385,4.907003193334827,9325042,9325042
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,reference_built,2,Commercial,1935,-1.1399272680282593,-4.68276309967041,1.1250354051589966,9.562713778901971,7.801624967014685,-1.7610888000070415,5.2047645137371905,9325042,9325042
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,reference_built,2,Commercial,1935,-0.5836795568466187,-3.9176186323165894,1.4548047184944153,9.562713778901971,8.257911538077382,-1.3048022257636096,5.188505570940533,9325042,9325042
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,reference_built,2,Commercial,1935,-0.722319483757019,-4.041425466537476,1.2392345070838928,9.562713778901971,7.994284633547329,-1.5684291382877582,5.101430160443011,9325042,9325042
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,reference_built,2,Commercial,1935,-1.0318573713302612,-4.410515308380127,0.9887023568153381,9.562713778901971,7.813463776886235,-1.7492500011431484,5.035241383686648,9325042,9325042
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,reference_built,3,Industrial,923,-1.880606174468994,-4.881193161010742,0.3924866020679474,10.118306409899615,8.599759622952355,-1.5185468472573391,4.765214174202147,267778,267778
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,reference_built,3,Industrial,923,-0.3938179910182953,-3.084114909172058,1.845741868019104,10.118306409899615,9.459335571046287,-0.6589709247320112,4.65893109143526,267778,267778
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,reference_built,3,Industrial,923,1.4894959926605225,-1.21928071975708,4.125827789306641,10.118306409899615,10.943371775230627,0.825065307323776,5.131972589634828,267778,267778
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,reference_built,3,Industrial,923,-0.23010191321372983,-2.7408885955810547,1.8893135786056519,10.118306409899615,9.568256140659853,-0.550050316524754,4.62972220561251,267778,267778
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,reference_built,3,Industrial,923,-1.117082595825195,-3.98396635055542,1.3262109160423279,10.118306409899615,8.663830422426637,-1.4544760121478015,4.6672113122309,267778,267778
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,reference_built,3,Industrial,923,-0.06994587928056717,-2.8003286123275757,1.8865416049957275,10.118306409899615,9.697906576131123,-0.420399868615526,4.758799132091812,267778,267778
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,reference_built,3,Industrial,923,-0.5739592909812927,-3.431843638420105,1.6403003931045532,10.118306409899615,9.214322687840758,-0.9039837187889315,4.624589433006165,267778,267778
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,reference_built,3,Industrial,923,-0.83069908618927,-3.7896006107330322,1.2063869833946228,10.118306409899615,8.750805118417857,-1.3675013295575342,4.47600035800497,267778,267778
